#ID	a	b	T	V
260
0	0.3340	0.6010	0.452	0.00
11	-0.0903	0.8955	0.264	-4.15
12	0.1203	0.7830	0.278	-4.01
15	0.0330	0.7735	0.236	2.33
17	0.0466	0.7875	0.292	-4.74
18	0.0074	0.8805	0.177	-4.35
19	0.0182	0.8281	0.181	-1.26
20	0.0511	0.7997	0.181	2.75
21	0.0052	0.8050	0.193	2.44
22	-0.0489	0.8581	0.286	-0.75
41	0.2136	0.6974	0.196	-2.54
42	0.1417	0.6981	0.202	-3.69
43	0.2216	0.7052	0.959	0.45
51	0.1278	0.5825	0.766	-3.59
54	0.1508	0.6332	0.813	-4.08
57	0.2223	0.5253	0.288	-6.33
59	0.2375	0.5534	0.740	-5.41
63	0.2376	0.5940	0.167	3.31
64	0.2167	0.5037	0.015	2.88
66	0.2368	0.5566	0.716	6.08
67	0.2869	0.5825	0.305	-6.49
68	0.3195	0.5537	0.380	-3.32
69	0.2719	0.4820	0.394	-5.91
70	0.2406	0.6900	0.389	-2.96
71	0.3045	0.6559	0.308	-0.44
72	0.1993	0.6666	0.225	4.17
73	0.3160	0.7169	0.344	7.98
81	0.0511	0.7242	0.240	0.05
90	0.1509	0.7353	0.536	2.88
91	0.2259	0.7156	0.282	-4.34
93	0.0697	0.7796	0.208	2.97
94	0.1404	0.7354	0.278	-3.85
95	0.1750	0.7487	0.201	-0.86
96	0.1241	0.7326	0.227	-3.39
97	0.1309	0.7555	0.324	-2.42
98	0.1663	0.7240	0.316	-5.51
101	0.0999	0.7080	0.290	3.73
102	0.1664	0.5661	0.320	-3.02
103	0.1899	0.6954	0.329	2.31
105	0.2230	0.6828	0.342	1.56
108	0.1645	0.7700	0.235	5.29
109	0.1782	0.6907	0.248	7.96
110	0.2356	0.7331	0.407	2.77
111	0.1785	0.7925	0.406	4.60
113	0.1703	0.5895	0.314	1.87
114	0.1865	0.6828	0.038	-6.53
115	0.2673	0.7058	0.426	3.14
116	0.1773	0.6977	0.292	3.37
117	0.1509	0.7349	0.365	3.80
119	0.0462	0.8043	0.172	0.62
121	0.2001	0.7659	0.462	4.88
122	0.0679	0.7441	0.314	4.61
123	0.2218	0.6883	0.441	-2.38
125	0.2567	0.6522	0.287	-1.52
126	0.1970	0.6784	0.485	0.25
127	0.1771	0.6899	0.409	4.62
128	0.2432	0.7453	0.483	4.90
129	0.2280	0.6755	0.417	-1.80
130	0.2173	0.6544	0.367	-1.11
131	0.2401	0.7302	0.355	1.71
132	0.2829	0.6910	0.427	-0.29
133	0.1774	0.7446	0.538	-4.51
202	0.1426	0.7589	0.335	2.45
211	0.1641	0.6887	0.355	-0.78
221	0.1858	0.7323	0.361	-2.38
222	0.1980	0.7415	0.623	4.66
231	0.1519	0.5919	0.803	4.70
241	0.2302	0.6194	0.251	-1.84
242	0.2029	0.6842	0.334	-6.29
251	0.1646	0.6895	0.445	4.62
260	0.1454	0.7112	0.426	-6.75
261	0.2893	0.6058	0.464	-4.80
263	0.1829	0.7327	0.337	-2.71
264	-0.0574	0.8255	0.209	2.58
310	0.4863	0.5679	0.406	-1.52
311	0.4258	0.5844	0.639	0.48
312	0.4854	0.5231	0.493	-1.81
313	0.5276	0.4269	0.646	-0.54
314	0.5096	0.5369	0.966	-1.19
315	0.4352	0.5372	0.674	-1.36
316	0.4769	0.5641	0.536	-1.35
317	0.4801	0.5341	0.486	-0.06
318	0.4742	0.5743	0.560	-2.44
319	0.3510	0.5975	0.841	-0.77
320	0.4560	0.5077	0.600	-5.48
321	0.4543	0.3276	0.778	-1.17
322	0.4535	0.6452	0.135	-0.51
331	0.2854	0.6303	0.446	-4.89
332	0.3314	0.6550	0.907	0.70
333	0.3492	0.6169	0.372	-6.58
341	0.4158	0.6115	0.588	-0.40
351	0.3920	0.6299	0.437	3.26
352	0.2940	0.5838	0.446	3.60
355	0.3913	0.5995	0.566	-6.22
356	0.3863	0.5775	0.534	-2.15
361	0.2944	0.6054	0.357	2.69
367	0.3911	0.5464	0.381	-7.50
370	0.4521	0.5272	0.499	-3.12
371	0.5297	0.4710	0.592	-2.62
372	0.4920	0.5399	0.571	-2.79
373	0.5059	0.5297	0.605	-0.74
375	0.4423	0.5634	0.435	-1.11
376	0.4610	0.5283	0.275	-6.49
379	0.4551	0.5319	0.371	-2.53
381	0.4455	0.4650	0.499	-3.12
391	0.5218	0.4359	0.719	-2.83
400	0.3745	0.6142	0.561	-1.31
401	0.4199	0.5596	0.955	3.35
402	0.3579	0.6582	0.577	-0.52
403	0.3502	0.6749	0.564	-0.95
404	0.4088	0.5985	0.715	0.01
405	0.3228	0.6823	0.486	-5.73
407	0.3742	0.6423	0.486	-1.37
408	0.3222	0.6448	0.686	-0.90
409	0.3633	0.6506	0.599	-0.98
410	0.4010	0.6379	0.128	-1.50
421	0.4201	0.5494	0.457	-2.62
431	0.2263	0.6780	0.551	1.98
450	0.4505	0.5197	0.721	-6.18
451	0.4647	0.4857	0.461	-5.04
452	0.4405	0.4915	0.373	-3.95
460	0.4213	0.5994	0.507	-4.60
461	0.4230	0.5687	0.670	-0.31
462	0.3411	0.6015	0.599	-1.91
471	0.4583	0.4644	0.698	-1.18
475	0.4058	0.5224	0.222	-2.46
481	0.4190	0.5754	0.445	3.33
491	0.4421	0.4583	0.624	-3.22
492	0.4243	0.5305	0.981	7.11
500	0.4804	0.3798	0.526	-5.33
501	0.4104	0.4403	0.593	-0.03
502	0.3677	0.5715	0.016	-2.55
521	0.3575	0.6226	0.526	-0.41
531	0.3989	0.5954	0.626	-3.91
540	0.4387	0.5568	0.531	-2.76
541	0.4466	0.5645	0.551	-0.31
542	0.4827	0.5152	0.466	-0.03
543	0.4782	0.5240	0.374	-0.16
544	0.4525	0.5340	0.511	-0.66
545	0.4486	0.5362	0.073	-2.04
546	0.4345	0.5701	0.532	2.93
551	0.4241	0.5368	0.669	-5.70
552	0.4269	0.5303	0.573	-2.60
555	0.3452	0.4855	0.577	3.92
571	0.4654	0.5639	0.861	-2.82
580	0.4096	0.6152	0.612	-3.64
591	0.2903	0.6099	0.462	-7.13
600	0.3463	0.4552	0.435	-0.40
601	0.4423	0.5323	0.506	-2.65
602	0.3885	0.5843	0.653	0.51
611	0.3699	0.6703	0.432	-0.56
621	0.4368	0.6302	0.489	0.80
631	0.3184	0.6164	0.365	-2.14
641	0.4830	0.4345	0.383	-6.98
650	0.3740	0.6610	0.497	-5.02
651	0.3866	0.6499	0.519	0.12
652	0.3689	0.6003	0.868	-0.28
653	0.4052	0.6132	0.454	-1.35
654	0.3704	0.6668	0.970	-2.76
655	0.4144	0.6318	0.559	-6.43
660	0.5128	0.3544	0.350	-4.38
661	0.4456	0.4488	0.415	-2.34
680	0.4192	0.4543	0.571	-4.82
681	0.4507	0.4644	0.712	-4.51
